,iso2,year,cases,sex,age
317,AF,2004,256,f,0-14
318,AF,2004,1360,f,15-24
319,AF,2004,1561,f,25-34
320,AF,2004,1096,f,35-44
321,AF,2004,645,f,45-54
322,AF,2004,413,f,55-64
323,AF,2004,139,m,0-14
324,AF,2004,537,m,15-24
325,AF,2004,568,m,25-34
326,AF,2004,360,m,35-44
327,AF,2004,358,m,45-54
328,AF,2004,386,m,55-64
329,AF,2005,320,f,0-14
330,AF,2005,1651,f,15-24
331,AF,2005,1959,f,25-34
332,AF,2005,1302,f,35-44
333,AF,2005,869,f,45-54
334,AF,2005,471,f,55-64
335,AF,2005,151,m,0-14
336,AF,2005,606,m,15-24
337,AF,2005,560,m,25-34
338,AF,2005,472,m,35-44
339,AF,2005,453,m,45-54
340,AF,2005,470,m,55-64
341,AF,2006,442,f,0-14
342,AF,2006,2139,f,15-24
343,AF,2006,2340,f,25-34
344,AF,2006,1654,f,35-44
345,AF,2006,1006,f,45-54
346,AF,2006,630,f,55-64
347,AF,2006,193,m,0-14
348,AF,2006,837,m,15-24
349,AF,2006,791,m,25-34
350,AF,2006,574,m,35-44
351,AF,2006,572,m,45-54
352,AF,2006,572,m,55-64
353,AF,2007,475,f,0-14
354,AF,2007,2224,f,15-24
355,AF,2007,2357,f,25-34
356,AF,2007,1708,f,35-44
357,AF,2007,1143,f,45-54
358,AF,2007,771,f,55-64
359,AF,2007,186,m,0-14
360,AF,2007,856,m,15-24
361,AF,2007,840,m,25-34
362,AF,2007,597,m,35-44
363,AF,2007,566,m,45-54
364,AF,2007,630,m,55-64
365,AF,2008,428,f,0-14
366,AF,2008,2094,f,15-24
367,AF,2008,2449,f,25-34
368,AF,2008,1614,f,35-44
369,AF,2008,1149,f,45-54
370,AF,2008,817,f,55-64
371,AF,2008,187,m,0-14
372,AF,2008,941,m,15-24
373,AF,2008,773,m,25-34
374,AF,2008,545,m,35-44
375,AF,2008,570,m,45-54
376,AF,2008,630,m,55-64
377,AG,1996,0,f,0-14
378,AG,1996,0,f,15-24
379,AG,1996,0,f,25-34
380,AG,1996,1,f,35-44
381,AG,1996,0,f,45-54
382,AG,1996,0,f,55-64
383,AG,1996,0,m,0-14
384,AG,1996,0,m,15-24
385,AG,1996,0,m,25-34
386,AG,1996,0,m,35-44
387,AG,1996,1,m,45-54
388,AG,1996,0,m,55-64
389,AG,2000,1,f,0-14
390,AG,2000,1,f,15-24
391,AG,2000,1,f,25-34
392,AG,2000,0,f,35-44
393,AG,2000,0,f,45-54
394,AG,2000,0,f,55-64
395,AG,2000,0,m,0-14
396,AG,2000,0,m,15-24
397,AG,2000,0,m,25-34
398,AG,2000,0,m,35-44
399,AG,2000,0,m,45-54
400,AG,2000,0,m,55-64
401,AG,2001,0,f,0-14
402,AG,2001,1,f,15-24
403,AG,2001,0,f,25-34
404,AG,2001,0,f,35-44
405,AG,2001,0,f,45-54
406,AG,2001,0,f,55-64
407,AG,2002,2,f,0-14
408,AG,2002,0,f,15-24
409,AG,2002,1,f,25-34
410,AG,2002,0,f,35-44
411,AG,2002,0,f,45-54
412,AG,2002,0,f,55-64
413,AG,2002,0,m,0-14
414,AG,2002,0,m,15-24
415,AG,2002,1,m,25-34
416,AG,2002,0,m,35-44
417,AG,2002,0,m,45-54
418,AG,2002,0,m,55-64
419,AG,2003,0,f,0-14
420,AG,2003,0,f,15-24
421,AG,2003,0,f,25-34
422,AG,2003,0,f,35-44
423,AG,2003,0,f,45-54
424,AG,2003,0,f,55-64
425,AG,2003,0,m,0-14
426,AG,2003,0,m,15-24
427,AG,2003,1,m,25-34
428,AG,2003,0,m,35-44
429,AG,2003,0,m,45-54
430,AG,2003,0,m,55-64
431,AG,2005,2,f,15-24
432,AG,2005,2,f,25-34
433,AG,2005,1,m,35-44
434,AG,2005,1,m,45-54
435,AG,2007,0,f,0-14
436,AG,2007,0,f,15-24
437,AG,2007,0,f,25-34
438,AG,2007,0,f,35-44
439,AG,2007,0,f,45-54
440,AG,2007,0,f,5-14
441,AG,2007,0,f,55-64
442,AG,2007,0,m,0-14
443,AG,2007,0,m,15-24
444,AG,2007,0,m,25-34
445,AG,2007,0,m,35-44
446,AG,2007,1,m,45-54
447,AG,2007,0,m,5-14
448,AG,2007,1,m,55-64
449,AG,2008,1,m,45-54
450,AI,2003,1,f,35-44
451,AI,2004,0,f,0-14
452,AI,2004,0,f,15-24
453,AI,2004,0,f,25-34
454,AI,2004,0,f,35-44
455,AI,2004,0,f,45-54
456,AI,2004,0,f,55-64
457,AI,2004,0,m,0-14
458,AI,2004,0,m,15-24
459,AI,2004,0,m,25-34
460,AI,2004,0,m,35-44
461,AI,2004,0,m,45-54
462,AI,2004,0,m,55-64
463,AL,1995,0,f,0-14
464,AL,1995,1,f,15-24
465,AL,1995,0,f,25-34
466,AL,1995,0,f,35-44
467,AL,1995,13,f,45-54
468,AL,1995,20,f,55-64
469,AL,1995,0,m,0-14
470,AL,1995,0,m,15-24
471,AL,1995,0,m,25-34
472,AL,1995,0,m,35-44
473,AL,1995,19,m,45-54
474,AL,1995,40,m,55-64
475,AL,1997,1,f,0-14
476,AL,1997,16,f,15-24
477,AL,1997,19,f,25-34
478,AL,1997,14,f,35-44
479,AL,1997,9,f,45-54
480,AL,1997,10,f,55-64
481,AL,1997,0,m,0-14
482,AL,1997,23,m,15-24
483,AL,1997,43,m,25-34
484,AL,1997,33,m,35-44
485,AL,1997,25,m,45-54
486,AL,1997,21,m,55-64
487,AL,1998,2,f,0-14
488,AL,1998,19,f,15-24
489,AL,1998,11,f,25-34
490,AL,1998,12,f,35-44
491,AL,1998,13,f,45-54
492,AL,1998,11,f,55-64
493,AL,1998,1,m,0-14
494,AL,1998,17,m,15-24
495,AL,1998,21,m,25-34
496,AL,1998,24,m,35-44
497,AL,1998,18,m,45-54
498,AL,1998,26,m,55-64
499,AL,1999,0,f,0-14
500,AL,1999,5,f,15-24
501,AL,1999,13,f,25-34
502,AL,1999,11,f,35-44
503,AL,1999,5,f,45-54
504,AL,1999,8,f,55-64
505,AL,1999,0,m,0-14
506,AL,1999,13,m,15-24
507,AL,1999,23,m,25-34
508,AL,1999,25,m,35-44
509,AL,1999,19,m,45-54
510,AL,1999,15,m,55-64
511,AL,2000,3,f,0-14
512,AL,2000,11,f,15-24
513,AL,2000,10,f,25-34
514,AL,2000,8,f,35-44
515,AL,2000,8,f,45-54
516,AL,2000,5,f,55-64
517,AL,2000,2,m,0-14
518,AL,2000,19,m,15-24
519,AL,2000,21,m,25-34
520,AL,2000,14,m,35-44
521,AL,2000,24,m,45-54
522,AL,2000,19,m,55-64
523,AL,2001,1,f,0-14
524,AL,2001,12,f,15-24
525,AL,2001,10,f,25-34
526,AL,2001,5,f,35-44
527,AL,2001,7,f,45-54
528,AL,2001,7,f,55-64
529,AL,2001,3,m,0-14
530,AL,2001,13,m,15-24
531,AL,2001,18,m,25-34
532,AL,2001,17,m,35-44
533,AL,2001,19,m,45-54
534,AL,2001,20,m,55-64
535,AL,2002,2,f,0-14
536,AL,2002,20,f,15-24
537,AL,2002,19,f,25-34
538,AL,2002,9,f,35-44
539,AL,2002,6,f,45-54
540,AL,2002,8,f,55-64
541,AL,2002,0,m,0-14
542,AL,2002,21,m,15-24
543,AL,2002,27,m,25-34
544,AL,2002,29,m,35-44
545,AL,2002,19,m,45-54
546,AL,2002,23,m,55-64
547,AL,2003,2,f,0-14
548,AL,2003,13,f,15-24
549,AL,2003,8,f,25-34
550,AL,2003,6,f,35-44
551,AL,2003,14,f,45-54
552,AL,2003,12,f,55-64
553,AL,2003,0,m,0-14
554,AL,2003,28,m,15-24
555,AL,2003,19,m,25-34
556,AL,2003,32,m,35-44
557,AL,2003,16,m,45-54
558,AL,2003,22,m,55-64
559,AL,2004,2,f,0-14
560,AL,2004,12,f,15-24
561,AL,2004,12,f,25-34
562,AL,2004,8,f,35-44
563,AL,2004,11,f,45-54
564,AL,2004,10,f,55-64
565,AL,2004,5,m,0-14
566,AL,2004,12,m,15-24
567,AL,2004,19,m,25-34
568,AL,2004,21,m,35-44
569,AL,2004,24,m,45-54
570,AL,2004,23,m,55-64
571,AL,2005,0,f,0-14
572,AL,2005,3,f,15-24
573,AL,2005,9,f,25-34
574,AL,2005,5,f,35-44
575,AL,2005,5,f,45-54
576,AL,2005,0,f,5-14
577,AL,2005,5,f,55-64
578,AL,2005,0,m,0-14
579,AL,2005,26,m,15-24
580,AL,2005,21,m,25-34
581,AL,2005,16,m,35-44
582,AL,2005,31,m,45-54
583,AL,2005,0,m,5-14
584,AL,2005,20,m,55-64
585,AL,2006,2,f,0-14
586,AL,2006,12,f,15-24
587,AL,2006,8,f,25-34
588,AL,2006,7,f,35-44
589,AL,2006,7,f,45-54
590,AL,2006,2,f,5-14
591,AL,2006,7,f,55-64
592,AL,2006,5,m,0-14
593,AL,2006,24,m,15-24
594,AL,2006,19,m,25-34
595,AL,2006,22,m,35-44
596,AL,2006,21,m,45-54
597,AL,2006,4,m,5-14
598,AL,2006,19,m,55-64
599,AL,2007,2,f,0-14
600,AL,2007,13,f,15-24
601,AL,2007,9,f,25-34
602,AL,2007,7,f,35-44
603,AL,2007,7,f,45-54
604,AL,2007,2,f,5-14
605,AL,2007,11,f,55-64
606,AL,2007,0,m,0-14
607,AL,2007,19,m,15-24
608,AL,2007,13,m,25-34
609,AL,2007,16,m,35-44
610,AL,2007,24,m,45-54
611,AL,2007,0,m,5-14
612,AL,2007,16,m,55-64
613,AL,2008,1,f,0-14
614,AL,2008,20,f,15-24
615,AL,2008,10,f,25-34
616,AL,2008,8,f,35-44
617,AL,2008,5,f,45-54
618,AL,2008,1,f,5-14
619,AL,2008,5,f,55-64
620,AL,2008,1,m,0-14
621,AL,2008,23,m,15-24
622,AL,2008,26,m,25-34
623,AL,2008,13,m,35-44
624,AL,2008,19,m,45-54
625,AL,2008,0,m,5-14
626,AL,2008,13,m,55-64
627,AM,1995,1,f,0-14
628,AM,1995,1,f,15-24
629,AM,1995,7,f,25-34
630,AM,1995,2,f,35-44
631,AM,1995,1,f,45-54
632,AM,1995,1,f,55-64
633,AM,1995,1,m,0-14
634,AM,1995,18,m,15-24
635,AM,1995,16,m,25-34
636,AM,1995,11,m,35-44
637,AM,1995,10,m,45-54
638,AM,1995,8,m,55-64
639,AM,1996,0,f,0-14
640,AM,1996,9,f,15-24
641,AM,1996,11,f,25-34
642,AM,1996,9,f,35-44
643,AM,1996,8,f,45-54
644,AM,1996,4,f,55-64
645,AM,1996,2,m,0-14
646,AM,1996,53,m,15-24
647,AM,1996,100,m,25-34
648,AM,1996,51,m,35-44
649,AM,1996,43,m,45-54
650,AM,1996,30,m,55-64
651,AM,1997,3,f,0-14
652,AM,1997,16,f,15-24
653,AM,1997,22,f,25-34
654,AM,1997,17,f,35-44
655,AM,1997,7,f,45-54
656,AM,1997,14,f,55-64
657,AM,1997,2,m,0-14
658,AM,1997,85,m,15-24
659,AM,1997,59,m,25-34
660,AM,1997,77,m,35-44
661,AM,1997,51,m,45-54
662,AM,1997,34,m,55-64
663,AM,1998,1,f,0-14
664,AM,1998,21,f,15-24
665,AM,1998,20,f,25-34
666,AM,1998,11,f,35-44
667,AM,1998,10,f,45-54
668,AM,1998,5,f,55-64
669,AM,1998,2,m,0-14
670,AM,1998,159,m,15-24
671,AM,1998,90,m,25-34
672,AM,1998,79,m,35-44
673,AM,1998,39,m,45-54
674,AM,1998,17,m,55-64
675,AM,1999,6,f,0-14
676,AM,1999,22,f,15-24
677,AM,1999,15,f,25-34
678,AM,1999,20,f,35-44
679,AM,1999,6,f,45-54
680,AM,1999,9,f,55-64
681,AM,1999,4,m,0-14
682,AM,1999,151,m,15-24
683,AM,1999,88,m,25-34
684,AM,1999,115,m,35-44
685,AM,1999,76,m,45-54
686,AM,1999,37,m,55-64
687,AM,2000,1,f,0-14
688,AM,2000,24,f,15-24
689,AM,2000,27,f,25-34
690,AM,2000,24,f,35-44
691,AM,2000,8,f,45-54
692,AM,2000,8,f,55-64
693,AM,2000,2,m,0-14
694,AM,2000,152,m,15-24
695,AM,2000,130,m,25-34
696,AM,2000,131,m,35-44
697,AM,2000,63,m,45-54
698,AM,2000,26,m,55-64
699,AM,2001,1,f,0-14
700,AM,2001,40,f,15-24
701,AM,2001,31,f,25-34
702,AM,2001,22,f,35-44
703,AM,2001,10,f,45-54
704,AM,2001,7,f,55-64
705,AM,2001,2,m,0-14
706,AM,2001,154,m,15-24
707,AM,2001,120,m,25-34
708,AM,2001,93,m,35-44
709,AM,2001,54,m,45-54
710,AM,2001,24,m,55-64
711,AM,2002,2,f,0-14
712,AM,2002,16,f,15-24
713,AM,2002,24,f,25-34
714,AM,2002,32,f,35-44
715,AM,2002,36,f,45-54
716,AM,2002,4,f,55-64
717,AM,2002,1,m,0-14
718,AM,2002,95,m,15-24
719,AM,2002,63,m,25-34
720,AM,2002,109,m,35-44
721,AM,2002,93,m,45-54
722,AM,2002,21,m,55-64
723,AM,2003,2,f,0-14
724,AM,2003,29,f,15-24
725,AM,2003,31,f,25-34
726,AM,2003,13,f,35-44
727,AM,2003,12,f,45-54
728,AM,2003,9,f,55-64
729,AM,2003,12,m,0-14
730,AM,2003,120,m,15-24
731,AM,2003,98,m,25-34
732,AM,2003,75,m,35-44
733,AM,2003,104,m,45-54
734,AM,2003,49,m,55-64
735,AM,2004,1,f,0-14
736,AM,2004,24,f,15-24
737,AM,2004,17,f,25-34
738,AM,2004,12,f,35-44
739,AM,2004,10,f,45-54
740,AM,2004,3,f,55-64
741,AM,2004,2,m,0-14
742,AM,2004,130,m,15-24
743,AM,2004,72,m,25-34
744,AM,2004,76,m,35-44
745,AM,2004,62,m,45-54
746,AM,2004,25,m,55-64
747,AM,2005,3,f,0-14
748,AM,2005,27,f,15-24
749,AM,2005,21,f,25-34
750,AM,2005,10,f,35-44
751,AM,2005,11,f,45-54
752,AM,2005,3,f,5-14
753,AM,2005,4,f,55-64
754,AM,2005,3,m,0-14
755,AM,2005,170,m,15-24
756,AM,2005,104,m,25-34
757,AM,2005,83,m,35-44
758,AM,2005,84,m,45-54
759,AM,2005,2,m,5-14
760,AM,2005,30,m,55-64
761,AM,2006,3,f,0-14
762,AM,2006,28,f,15-24
763,AM,2006,29,f,25-34
764,AM,2006,16,f,35-44
765,AM,2006,15,f,45-54
766,AM,2006,3,f,5-14
767,AM,2006,7,f,55-64
768,AM,2006,0,m,0-14
769,AM,2006,113,m,15-24
770,AM,2006,116,m,25-34
771,AM,2006,96,m,35-44
772,AM,2006,98,m,45-54
773,AM,2006,0,m,5-14
774,AM,2006,38,m,55-64
775,AM,2007,2,f,0-14
776,AM,2007,31,f,15-24
777,AM,2007,22,f,25-34
778,AM,2007,11,f,35-44
779,AM,2007,7,f,45-54
780,AM,2007,2,f,5-14
781,AM,2007,7,f,55-64
782,AM,2007,1,m,0-14
783,AM,2007,81,m,15-24
784,AM,2007,87,m,25-34
785,AM,2007,100,m,35-44
786,AM,2007,92,m,45-54
787,AM,2007,1,m,5-14
788,AM,2007,29,m,55-64
789,AM,2008,4,f,0-14
790,AM,2008,44,f,15-24
791,AM,2008,25,f,25-34
792,AM,2008,10,f,35-44
793,AM,2008,14,f,45-54
794,AM,2008,4,f,5-14
795,AM,2008,10,f,55-64
796,AM,2008,0,m,0-14
797,AM,2008,53,m,15-24
798,AM,2008,103,m,25-34
799,AM,2008,74,m,35-44
800,AM,2008,87,m,45-54
801,AM,2008,0,m,5-14
802,AM,2008,37,m,55-64
803,AN,1996,0,f,0-14
804,AN,1996,0,f,15-24
805,AN,1996,0,f,25-34
806,AN,1996,1,f,35-44
807,AN,1996,0,f,45-54
808,AN,1996,0,f,55-64
809,AN,1996,0,m,0-14
810,AN,1996,0,m,15-24
811,AN,1996,0,m,25-34
812,AN,1996,0,m,35-44
813,AN,1996,1,m,45-54
814,AN,1996,1,m,55-64
815,AN,1997,0,f,0-14
816,AN,1997,0,f,15-24
817,AN,1997,2,f,25-34
818,AN,1997,2,f,35-44
819,AN,1997,1,f,45-54
820,AN,1997,1,f,55-64
821,AN,1997,0,m,0-14
822,AN,1997,0,m,15-24
823,AN,1997,1,m,25-34
824,AN,1997,1,m,35-44
825,AN,1997,0,m,45-54
826,AN,1997,1,m,55-64
827,AN,1998,0,f,0-14
828,AN,1998,1,f,15-24
829,AN,1998,0,f,25-34
830,AN,1998,2,f,35-44
831,AN,1998,1,f,45-54
832,AN,1998,0,f,55-64
833,AN,1998,0,m,0-14
834,AN,1998,0,m,15-24
835,AN,1998,0,m,25-34
836,AN,1998,0,m,35-44
837,AN,1998,0,m,45-54
838,AN,1998,1,m,55-64
839,AN,1999,0,f,0-14
840,AN,1999,1,f,15-24
841,AN,1999,1,f,25-34
842,AN,1999,0,f,35-44
843,AN,1999,0,f,45-54
844,AN,1999,0,f,55-64
845,AN,1999,0,m,0-14
846,AN,1999,0,m,15-24
847,AN,1999,1,m,25-34
848,AN,1999,0,m,35-44
849,AN,1999,1,m,45-54
850,AN,1999,0,m,55-64
851,AN,2000,0,f,0-14
852,AN,2000,0,f,15-24
853,AN,2000,1,f,25-34
854,AN,2000,0,f,35-44
855,AN,2000,0,f,45-54
856,AN,2000,1,f,55-64
857,AN,2000,0,m,0-14
858,AN,2000,0,m,15-24
859,AN,2000,1,m,25-34
860,AN,2000,2,m,35-44
861,AN,2000,0,m,45-54
862,AN,2000,0,m,55-64
863,AN,2001,0,f,0-14
864,AN,2001,0,f,15-24
865,AN,2001,1,f,25-34
866,AN,2001,0,f,35-44
867,AN,2001,0,f,45-54
868,AN,2001,1,f,55-64
869,AN,2001,0,m,0-14
870,AN,2001,0,m,15-24
